Star-rating,Name,Reviewer Profile Url,Review Title,Text,images,profile icon,Date
4.0 out of 5 stars,Ayyappan G A,https://www.amazon.in/gp/customer-reviews/R15WTLOAOACAH8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Warranty issue.,"I received this month only. Invoice copy mentioned one year warranty. But HP warranty show in laptop it's expired this year 7th month.How can claim for warranty?or this is old laptop?Herewith attached warranty photo copy for what it's show in my laptop.

Laptop working is good.Spec is all is correct.my self this laptop is satisfactory. Battery backup is 3 and 1/2 hour.","https://m.media-amazon.com/images/I/61lx8ZfAtSL.88.jpg  
","https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 21 March 2023
4.0 out of 5 stars,singaravelan,https://www.amazon.in/gp/customer-reviews/RD6VBHQ3BNJNQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Laptop look is not catchy and overall performance is okay not bad,Battery life is okay and only the look of laptop is disappointing.,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 10 March 2023
3.0 out of 5 stars,Placeholder,https://www.amazon.in/gp/customer-reviews/R31AXAKWUG810S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Pathetic service,Don't buy any product from HP. The customer service is pathetic,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 22 December 2022
4.0 out of 5 stars,Pranjal,https://www.amazon.in/gp/customer-reviews/R17RKNHT1MPA23/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good built quality and daily use laptop!,"This is my first laptop and I truly believe I made a good choice!!
I got it for around 41k ish and it's costly because we have semiconductor crisis going on currently, but the laptop performs well, has good battery backup, bright screen and smooth experience and yes charges quick!! I guess it would take it 1hr 30 min approximately and it would last around 5hrs while you are surfing the internet and and more than that if it's not connected to any Internet.
I basically bought it for academic purpose and it fulfills all my needs, and yes I am writing this review after 10days of usage and as of now it does collaborate with all my needs!!

A good product you shall consider!!",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 6 February 2022
4.0 out of 5 stars,Amit kumar,https://www.amazon.in/gp/customer-reviews/R2A4RLMNOQOMWM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Best purchase,"It help me during lockdown to learn and explore the studying and working.
You can go for it.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/bf53b531-d53c-4c1a-91ea-6f205f7761b9._CR0,0,375,375_SX48_.jpg",Reviewed in India 🇮🇳 on 25 September 2022
4.0 out of 5 stars,shivam chauhan,https://www.amazon.in/gp/customer-reviews/RMIUBQAINN5M3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good product excellent quality.,Good product excellent quality.,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 10 October 2022
1.0 out of 5 stars,Amazon Customer,https://www.amazon.in/gp/customer-reviews/R1IGPK6HJZZCKL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Charger is not working exactly after 12 months,"I brought this laptop for my personal use during Feb 2022 and its charger has stopped working on March 2023, exactly after their warranty period. My usage has been very minimal since I use only for personal work purpose roughly around 82 hours total.

Their customer support is in a complete denial mode of resolving the issue pointing that warranty is over.

Also, a lot of fan noise every now and then keeps coming.",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 6 March 2023
5.0 out of 5 stars,Harsh Vyas,https://www.amazon.in/gp/customer-reviews/RQ5V4EAUMKASK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Nice Laptop,Good and Easy to Use,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 4 January 2023
3.0 out of 5 stars,🙏,https://www.amazon.in/gp/customer-reviews/R2VI4TVTMJ79VJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Good,First of all I am writing this after using the product for more than a month. This is a good laptop for day to day usage. Please note that this is not for games however you can play some light games. If you want the best performance install a SSD which will improve the performance drastically. There is no lags or glitches after installing SSD. The battery life is 2 to 3 hours with one full cycle of charge. Of course it depends on your usage. As off now I have not faced any major issues though I am running Windows 11. Built quality is average. Lastly the delivery from Amazon was excellent. Thanks Amazon team. Keep it up. If you are a average user you can blindly go for it with a SSD installed in the device.,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 21 January 2022
5.0 out of 5 stars,Amazon Customer,https://www.amazon.in/gp/customer-reviews/R31IP5628V7S2Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095YC5VH4, Separate numeric key pad like desktop!,It has given numeric key pad separately in key board. This is very effective for accounts purpose or those who are randomly use numeric data.,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",Reviewed in India 🇮🇳 on 27 November 2022
